Name,Category,Type,Address,Cost Range,Tips,Website
"Casa Lac","Aragonese","Historic Restaurant","C/ de los Mártires 12 Zaragoza","€30–45/person","Spain's oldest restaurant license (est. 1825). Classic Aragonese cuisine in a beautiful historic room. Ternasco al horno (roast lamb) and migas aragonesas. NO Monday dinner (listings say closed Mon) — our slot is Tue Sep 1 lunch 13:30. Reserve: 976 39 61 96 or restaurantecasalac@gmail.com.","N/A"
"El Chalet","Modern Aragonese","Creative Restaurant","C/ de Santa Teresa de Jesús 25 Zaragoza","€40–60/person","One of Zaragoza's best restaurants for contemporary cooking with local Aragonese ingredients. Tasting menu or à la carte seasonal dishes. Book ahead. Didn't win a slot on this 1-night stop.","N/A"
"La Rinconada de Lorenzo","Aragonese","Traditional Restaurant","C/ de la Salle 3 Zaragoza","€25–35/person","Classic Aragonese home cooking. The ternasco asado and Pyrenean trout are outstanding. Normally closed Sun night + Mon, and reported closed for holidays through August — call 976 55 51 08 before relying on it Sep 1.","N/A"
"El Temple pintxos street","Pintxos","Bar Street","C/ del Temple Zaragoza","€15–20/person","Zaragoza's second pintxos row — lower-key and very local. Go 20:30–22:00. Overflow plan if El Tubo is rammed.","N/A"
"Mercado de las Artes","Food Hall","Market","C/ de San Ignacio de Loyola Zaragoza","€15–25/person","Food hall listed at this address — but listings are inconsistent (appears elsewhere as Mercado Gastronómico). Confirm it's open before relying on it; Mercado Central and El Tubo are the verified alternatives.","N/A"
"Bar El Fútbol","Breakfast","Local Bar","Near centre Zaragoza","€5–10/person","Classic Aragonese bar breakfast — tostada con tomate, coffee, atmosphere. A local institution; humble, authentic. Tuesday 08:30 breakfast option — verify hours on site.","N/A"
"Pastelería Fantoba","Pastry","Pastry Shop","C/ Don Jaime I 21 Zaragoza","€3–8/person","Zaragoza's most famous pastry house since 1856 — Egyptian-revival interior. Trenza de Almudévar is the city's signature sweet. Open daily 10:00–22:00 (too late for breakfast). Buy two Tue afternoon: one with coffee, one for the AVE.","N/A"
"Bar Gallizo","Tapas","Local Bar","C/ San Lorenzo 44 Zaragoza","€15–25/person","Excellent tapas recommended by Airbnb host. Casual neighborhood favourite — 5 min walk from Calle Dr. Alejandro Palomar. Monday/late-August hours unverified — El Tubo is the fallback.","N/A"
"Restaurante El Fuelle","Aragonese","Traditional Restaurant","C/ Mayor 59 Zaragoza","€25–35/person","Traditional Aragonese bodega-museum with wood-fired oven, recommended by Airbnb host — 3 min from the apartment. CLOSED Mondays; Tue–Sat 12–16 and 20–24. Our Casa Lac backup for Tue lunch — reserve 976 39 80 33.","N/A"
"El Ángel del Pincho","Pintxos","Tapas Bar","C/ Jordán de Urríes 5 Zaragoza","€10–20/person","Pajaritos (small fried birds) and tempura — pintxos-style. Host recommendation. Right next to Bar La Viña for an easy two-stop crawl.","N/A"
"Bar La Viña","Pintxos","Tapas Bar","C/ Jordán de Urríes 3 Zaragoza","€10–20/person","Berenjenas con miel (eggplant with honey) is the signature dish. Host recommendation. Adjacent to El Ángel del Pincho.","N/A"
"The Lynx","Bar","Local Bar","Plaza de Santa Marta Zaragoza","€8–15/person","Local atmospheric bar where Guardia Civil hangs out. Host pick — very neighbourhood, no tourists. Nightcap stop on the way home.","N/A"
"Bodegas Almau","Tapas","Historic Bodega","C/ Estébanes 10 Zaragoza","€10–20/person","El Tubo classic since 1870 — original woodwork, vermouth on tap, famous anchovy pintxos (try anchovy with tomato jam). Open Mon–Sun 11–16 and 19–24 — a verified Monday anchor for Aug 31.","N/A"
"Taberna Doña Casta","Tapas","Croqueteria","C/ Estébanes 6 Zaragoza","€10–20/person","The croqueta institution of Zaragoza — get the ternasco croqueta and a mixed board. Open Mon–Sun 12–16 and 19:30–24 — verified Monday-open for Aug 31 dinner crawl.","N/A"
"El Champi","Tapas","Pintxo Counter","C/ Estébanes (opposite Doña Casta) Zaragoza","€3–8/person","One-dish wonder: the grilled-mushroom pintxo with garlic and oil on a bread base. Order in multiples of four. Opposite Doña Casta in El Tubo.","N/A"
"El Cachirulo","Aragonese","Folklore Dinner Show (jota)","Ctra. de Logroño km 1.5 50011 Zaragoza","€35–55/person","Zaragoza has NO tourist flamenco tablao — Aragón's music is the jota. This is the big folklore restaurant that runs live jota singing and dancing in full regional costume with dinner. WARNING: 15-min taxi out of the centre and shows lean to weekends — call first. A Monday performance (our only evening) is unlikely.","N/A"
