Name,Category,Type,Address,Cost Range,Tips,Website
Chocolatería San Ginés,Breakfast,Churros,"Pasadizo de San Ginés 5, 28013 Madrid","~5 EUR/person","08:00 - Metro L3 Legazpi to Sol. Chocolate con porras at the white-marble counter, open 24h since 1894, and at 08:00 it is empty and magic.",https://chocolateriasangines.com
Casa Mira,Sight,Historic Shop,"Carrera de San Jerónimo 30, 28014 Madrid",Free to look,"09:15 on the 20-min walk to the Prado - turrón dynasty since 1855, preserved shopfront. Further along, the lions of the Congreso de los Diputados were cast from melted-down cannons of Spain's African wars.",N/A
Museo del Prado,Sight,Museum,"Calle de Ruiz de Alarcón 23, 28014 Madrid","15 EUR/adult, 7.50 EUR students 18-25, under 18 free (~37.50 EUR for four); audio guide 5 EUR","10:00, 2.5 HRS, OUT BY 12:30 - PRE-BOOK THE 10:00 SLOT. Do not try to do it; hit the spine: Velázquez Las Meninas (room 12) FIRST at opening, near-private for 10 minutes. Then Goya's Black Paintings (67-68), Goya's 2nd & 3rd of May 1808 (64), Bosch's Garden of Earthly Delights (56A), El Greco (8B-10B) on the way out. Thu hours 10:00-20:00. The free 18:00-20:00 window has its own long queue and 2h is not enough - the paid 10:00 slot is the right call. Timed tickets use the Puerta de los Jerónimos entrance.",https://www.museodelprado.es/en
CaixaForum Madrid,Sight,Architecture,"Paseo del Prado 36, 28014 Madrid","Free photo stop; inside 6 EUR (under 16 free)","12:35, 10 min, PHOTO STOP ONLY TODAY - Herzog & de Meuron's levitating rusted-steel block (they sliced away the old power station's base so the brick mass floats), and across the lane Patrick Blanc's 24 m living wall, 15,000 plants. The British Museum Assyria show runs to Oct 4, 2026 if anyone is still hungry, but the day is full.",N/A
Taberna La Bola,Lunch,Cocido Madrileño,"Calle de la Bola 5, 28013 Madrid","25-35 EUR/person","13:00 - BOOK 13:00, NOT 14:00. CASH ONLY. The temple of cocido madrileño since 1870: each portion simmers all morning in its own clay puchero over oak charcoal, poured out tableside. Served in acts - noodle broth, then chickpeas + vegetables + the meats. 13:00 is early by Madrid standards but it is the first sitting and it is what buys the campus run. SKIP STARTERS, eat the three acts, be out by 14:05. Thu 12:00-20:30, bright-red facade two blocks from the Royal Palace. Book +34 91 547 69 30 or labola.es/reservar. Metro Banco de España L2 to Ópera, 8 min.",https://labola.es
Casa Labra,Lunch,Bacalao,"Calle de Tetuán 12, 28013 Madrid","3-4 EUR/piece","NO-TABLE BACKUP - since 1860, the bar where the Spanish Socialist Party was founded (plaque inside). Battered-cod tajadas + croquetas standing up, the Madrid pilgrimage snack.",https://casalabra.es
Giuseppe Ricci,Gelato,Ice Cream,"Calle del Espejo 8, 28013 Madrid","3-5 EUR","14:05 on the move, 2 min from La Bola - Roman maestro, dairy-free chocolate sorbet. Eat it walking, do not sit.",N/A
Sol Cercanías station,Transport,Cercanías Station,"Puerta del Sol, 28013 Madrid","~2 EUR/pp single","14:15 departure - SOL CERCANÍAS IS A SEPARATE STATION UNDER THE METRO. Follow the red-and-white Cercanías signs, not the Metro ones, down to the deep C-3/C-4 platforms. Buy four singles at the machine - THE METRO CARD DOES NOT WORK HERE. 10 min walk down C/ Arenal from La Bola.",N/A
Cantoblanco Universidad (UAM),Sight,University Campus,"Cantoblanco Universidad, 28049 Madrid","~2 EUR/pp each way","THE HARD PIN OF THE DAY: EMILY ON CAMPUS AT 15:00. C-4 from Sol ~20 min, no changes, either branch (C-4a Colmenar Viejo or C-4b Alcobendas) calls here. Station is a ~10 MIN WALK from the faculty buildings and signposting is thin - budget it. Walk her in WITH her at 14:40: the campus is a 1970s grid and she will be doing it alone from next week. Find her building, note the nearest café, agree the pickup plan. Meetup 15:00-18:00. THERE IS NOTHING AT CANTOBLANCO - do not plan to wander nearby.",N/A
Museo Reina Sofía,Sight,Museum,"Calle de Santa Isabel 52, 28012 Madrid","12 EUR/adult, under 18 and students to 25 free (24 EUR for us)","15:50, 1.75 HRS - take the same C-4 back, 15:10 from Cantoblanco to Atocha ~15:35, then a 5-min walk. GUERNICA IS THE REASON: Picasso's 1937 scream at the bombing of a Basque market town, 7.8 m of grey horror, only allowed home to Spain in 1981 after Franco was gone. Stand in front of it 10 full minutes, then find the preparatory sketches in the side rooms. The 90-min route: Guernica + sketches, the Dalís, Miró, the courtyard from the Sabatini balconies. Thu 10:00-21:00, CLOSED TUESDAYS. Entry is free daily 19:00-21:00 but that window is exactly rowboat golden hour - 24 EUR buys the family the lake at sunset instead of a queue.",https://www.museoreinasofia.es/en
