Name,Category,Type,Address,Cost Range,Tips,Website,Family
Jeronimos Monastery,Main Attraction,UNESCO Monument,"Praca do Imperio 1400-206 Lisboa","18 EUR adult, ~9 EUR youth 13-24 with ID, under 12 free; church free","BOOKED AND PAID - cloister Tue 25 Aug 2026 at 15:30, order 38185413 (moved off Day 1 - the voucher had no Sunday slot). Free church done Day 1 at 14:00. Bring photo ID for the two youth tickets. Closed Mondays. Portugals greatest Manueline building (1501). Tombs of Vasco da Gama and Luis de Camoes. The free church never needs a ticket — but keeps Sunday hours 14:00-17:00 (Mass mornings).",https://patrimoniocultural.gov.pt/en/museus-e-monumentos/mosteiro-dos-jeronimos/,Excellent — stunning for all ages book ahead
Belem Tower,Main Attraction,UNESCO Monument,"Av Brasilia 1400-038 Lisboa","15 EUR adult, 7.50 EUR youth 13-24 with ID, under 12 free","BOOKED - order 38185394, paid, Aug 23 16:00 slot — at the gate 15:55. Reopened 26 May 2026 after a 13-month 1M-euro restoration; all four levels + terrace open again with strict timed entry (60 people per 30 min, 900/day). Closed Mondays. Find the rhinoceros on the north bastion.",https://torrebelem.com/en/,Good — multiple levels narrow stairs best for ages 5+
Monument to the Discoveries,Main Attraction,Monument,"Av Brasilia 1400-038 Lisboa","10 EUR adult, under 12 free; youth rate — ask at desk","52m white stone prow-shaped monument (1960). 33 historical figures led by Henry the Navigator. Take the lift to the top for the best single view in Belem. Giant world map mosaic on the pavement is best seen from above. Daily 10:00-19:00 Mar-Sep.",https://padraodosdescobrimentos.pt/en/,Good
Sao Jorge Castle,Main Attraction,Castle / Viewpoint,"Rua de Santa Cruz do Castelo 1100-129 Lisboa","17 EUR adult, 8.50 EUR youth 13-25 with ID, under 12 free","BOOKED - paid, open ticket valid until 1 Nov 2026, entry from 09:00. Daily 09:00-21:00 summer. Moorish-era hilltop fortress with 360 degree panoramas. Walkable ramparts towers archaeological site. Peacocks roam freely. Camera Obscura in Torre de Ulisses is magical. Go at 09:00 opening (our Day 3).",https://castelodesaojorge.pt/en/,Excellent — peacocks ramparts archaeology all engage kids
Carmo Convent,Main Attraction,Gothic Ruins / Museum,"Largo do Carmo 1200-092 Lisboa","7 EUR adult, under 14 free, 5 EUR with student ID","Hauntingly beautiful Gothic convent whose roof was destroyed in the 1755 earthquake and never rebuilt — Gothic arches now frame open sky. Inside: small museum with Egyptian mummies Pre-Columbian artefacts and medieval stonework. Mon-Sat 10:00-19:00 May-Oct, closed Sundays (our Day 4 is a Wednesday). Allow 45-60 mins.",https://www.museuarqueologicodocarmo.pt/info_en.html,Good — mummies and open-sky arches engage all ages
Oceanario de Lisboa,Main Attraction,Aquarium,"Esplanada D Carlos I Parque das Nacoes 1990-005 Lisboa","Time-banded 2026: 29 EUR morning / 27 EUR 12:00-15:30 / 25 EUR from 16:00; ages 13+ pay adult; child 3-12 15-18 EUR","One of Europes finest aquariums. Single massive central ocean tank with sharks sea otters and a rare sunfish. Book the 12:00 band for our Day 4 (Wed Aug 26) — timed entry sells out in August. Daily 10:00-20:00 last entry 19:00. Allow 2 hrs. Lockers max 47.5x30x46cm — no suitcases, leave bags at the apartment.",https://oceanario.pt/en/,Outstanding — sea otters and shark tunnel are unmissable
MAAT Museum of Art Architecture Technology,Main Attraction,Contemporary Art Museum,"Av Brasilia 1300-598 Lisboa (Belem)","11 EUR galleries, under 12 free, free 1st Sun morning; rooftop walkway free to everyone","Architecturally striking curved building by Amanda Levete beside the Tagus. The rooftop walkway is free to everyone — one of Lisbons best vantage points, on the Day 1 walk back from Belem Tower. Galleries closed Tuesdays.",https://maat.pt/en/,Good — free rooftop is the draw even without museum entry
Museu do Azulejo,Main Attraction,Tile Museum,"Rua da Madre de Deus 4 1900-312 Lisboa",8 EUR adults under 12 free,"The only museum in the world dedicated to azulejo. 36-metre panoramic tile panel depicting pre-earthquake Lisbon (c.1738). Housed in a stunning 16th-century convent. Tue-Sun 10:00-18:00 closed Mon. Carried a temporarily-closed flag in mid-2026 listings — verify before going. Not in this trips plan.",http://www.museudoazulejo.gov.pt/en,Good
Se Cathedral,Main Attraction,Cathedral + Archaeology,"Largo da Se 1100 Lisboa","5 EUR (includes treasury), kids 7-12 3 EUR; free for Mass-goers","Lisbons oldest church (1147). Now ticketed — and the Gothic cloister with the Roman garum excavation is CLOSED for long-term works, so the best bit is off the menu. Optional quick visit on the Day 3 descent. Mon-Sat ~09:30-18:30, closed Sundays to visitors.",http://www.sedicese.pt/,Good — quick visit while the cloister works run
LX Factory,Main Attraction,Creative District,"Rua Rodrigues de Faria 103 1300-501 Lisboa",Free entry shops open 10am-20:00,"19th-century industrial complex — independent shops studios street food vintage market. Sunday market Feira da LX (noon-7pm). On this trip its the Day 4 fallback morning (Wednesday = regular shops, no market). Free entry always.",https://www.lxfactory.com/,Excellent — Sunday market is the highlight for families
