Name,Category,Type,Address,Cost Range,Tips,Website
Barcelona-Sants station,Transport,Railway Station,"Plaça dels Països Catalans, 08014 Barcelona","~8-16 EUR/pp each way","07:50 - Metro L5 direct, ~15 min. The ~08:20 fast train (AVE/Avant) is ~38 min; book by ~Aug 26, 2-3 fast trains/hr. The slow R11 is ~1h20 and eats Girona's whole Sunday-morning window.",N/A
Pont de les Peixateries Velles,Sight,Bridge,"Pont de les Peixateries Velles, 17004 Girona",Free,"09:25 - start outdoors before anything opens. The red iron footbridge built 1877 by Gustave Eiffel's workshop, TWELVE YEARS BEFORE THE TOWER: same riveted lattice, same red-oxide paint. Mid-span for the classic shot of the painted houses stacked over the water, then cross and shoot back. Empty now, a tripod queue by noon.",N/A
Carrer Nou / Rambla de la Llibertat (xuixos),Breakfast,Pastry,"Rambla de la Llibertat, 17004 Girona","2-4 EUR/pastry","09:45 - coffee and a xuixo (say SHOO-show), Girona's own pastry: a fried sugar-crusted brioche cylinder filled with crema catalana, invented here. Stacked in every pastisseria window along these arcades. Ask for one acabat de fer (just made). One each, they are rich.",N/A
El Call (Jewish Quarter),Sight,Historic Quarter,"El Call, 17004 Girona","Museum ~4 EUR","10:15 - DOING IT FIRST TICKS THE DAY'S TIGHTEST DOOR. One of the best-preserved medieval Jewish quarters in Europe: stone lanes barely shoulder-wide, tunnels, staircases going nowhere. Inside it the Bonastruc ça Porta / Museu d'Història dels Jueus with its 12th-century mikvah - SUN 10:00-14:00, last entry ~13:30.",N/A
Monestir de Sant Pere de Galligants,Sight,Monastery,"Carrer de Santa Llúcia 8, 17007 Girona",~6 EUR,"11:15 - SUN 10:00-14:00. 12th-century Benedictine Romanesque monastery, now the archaeology museum. The cloister is the reason: carved capitals, deep shade, almost nobody in it. Played Braavos on screen.",N/A
Jardins de la Francesa,Sight,Garden,"Jardins de la Francesa, 17004 Girona",Free,"11:50 - the free French garden tucked behind the cathedral apse: cypresses, ivy, benches, the cathedral wall towering overhead. THE COOLEST SPOT IN GIRONA, and another Braavos backdrop. Breathe here until noon.",N/A
Girona Cathedral,Sight,Cathedral,"Plaça de la Catedral, 17004 Girona","7.50 EUR adult incl. audio guide (students/pensioners 5, under 16 1.50, under 8 free) - same ticket covers Sant Feliu","12:10 - OPENS TO VISITORS ONLY AT 12:00 ON SUNDAYS (12:00-16:30), which is why the morning runs museums-first. The widest Gothic nave in the world (23 m, unsupported). The 90-step baroque staircase out front is the Game of Thrones shot - the Great Sept of Baelor. Inside, do not skip the Tapestry of Creation, an embroidered 11th-century cosmos.",https://www.catedraldegirona.cat/
Basílica de Sant Feliu,Sight,Church,"Pujada de Sant Feliu 29, 17004 Girona","Included in the cathedral ticket","13:10 - OPENS 13:00 SUNDAY (13:00-17:30). Girona's first cathedral, right below: Romanesque columns under a Gothic nave, eight Roman and early-Christian sarcophagi embedded by the altar, tomb of St Narcissus. 20-25 min.",N/A
Escales de Sant Martí,Sight,Staircase,"Pujada de Sant Domènec, 17004 Girona",Free,"13:40, 2 min away - the baroque staircase sweeping up to Sant Martí Sacosta. Arya's Braavos chase ran down these steps. Shoot from the bottom looking up.",N/A
Bartali Pizza Co.,Lunch,Pizzeria,"Carrer Nou del Teatre 3, 17004 Girona","~15 EUR/person","14:00 LUNCH - BOOKED PICK. Neapolitan-style pizza, terrace, 4.8 stars over ~725 reviews, gluten-free bases available. SUNDAY HOURS ARE 13:00-15:30 ONLY - reserve via bartalipizza.com, OpenTable or Resy, or call +34 972 21 09 91. Minutes downhill from the Sant Marti steps.",https://bartalipizza.com/
Plaça de la Independència,Lunch Backup,Catalan,"Plaça de la Independència, 17001 Girona","15-25 EUR/person","Backup only. The big arcaded square across the river: shaded awnings, easy with four, no booking needed - but it prices for visitors. Girona is Celler de Can Roca's home town; even ordinary kitchens punch above their weight.",N/A
Rocambolesc,Gelato,Ice Cream,"Carrer de Santa Clara 50, 17001 Girona",~5 EUR,"15:30 - Jordi Roca's ice-cream shop, the 5 EUR way to eat three-Michelin-star cooking. Ridiculous toppings, kids love it. Then shaded lanes until the heat breaks.",N/A
Passeig de la Muralla,Sight,City Walls,"Passeig de la Muralla, 17004 Girona",Free,"16:30 - the medieval ramparts, 1-1.5 km of walkway and climbable towers over terracotta roofs to the Pyrenees foothills. DELIBERATELY AT THE END: fully exposed, no water up there, BRING BOTTLES. Girona is inland and hotter than Barcelona, 32-34 C is normal. Come down near the cathedral.",N/A
Girona station (return),Transport,Railway Station,"Plaça d'Espanya, 17002 Girona","~8-16 EUR/pp","18:15 walk to the station (~15 min) for the ~18:40 fast train, Barcelona by ~19:20. CHECK THE LAST FAST DEPARTURES WHEN BOOKING - Sunday evening service thins. If the day feels long, the natural cut is everything after lunch: take a ~16:00 train back.",N/A
7 Portes,Dinner,Paella,"Passeig d'Isabel II 14, 08003 Barcelona","40-60 EUR/person","~21:00 farewell dinner - paella institution SINCE 1836, open daily 13:00-01:00. White jackets, marble tables, paella Parellada and black rice. BOOK NOW for Sunday ~21:00, August weekends fill weeks out. Then pack: tomorrow leaves at 09:40.",https://www.7portes.com/en/
