Name,Category,Type,Address,Cost Range,Tips,Website
Palácio da Pena,Sight,Palace,"Estrada da Pena, 2710-609 Sintra","20 EUR adult (Essential Visit); reduced youth band - check","BOOKED & paid - 09:00 palace slot, IDENTICAL to Option A. Taxi/Bolt up from Sintra station (~10-15 EUR total for four) - the first 434 bus is too late. 09:00 is the PALACE door, 15-25 min uphill from the park gate; enter within the ~30 min slot or forfeit.",https://www.parquesdesintra.pt
Castelo dos Mouros,Sight,Fortress,"2710 Sintra","12 EUR; reduced youth band","8th-century Moorish walls, 10 min from Pena's gate. Huge Atlantic views. The on-site booth is closed - buy at the Pena ticket office. Take the forest path down to the village (~25 min, shaded).",N/A
Casa Piriquita,Lunch,Pastelaria,"Rua das Padarias 1, 2710-603 Sintra","2-4 EUR/pastry","~12:45 lunch stop - travesseiros and queijadas, a Sintra institution since 1862.",https://piriquita.pt
Quinta da Regaleira,Sight,Palace + Gardens,"Rua Barbosa du Bocage 5, 2710-567 Sintra","20 EUR adult / 15 EUR youth 6-17 (19-y-o pays adult)","14:00-16:00 - SAME BOOKED SLOT as Option A, the booking works for either version. THE FORK HAPPENS AFTER THIS. Initiation Well: a 27 m spiral descent into tunnels - bring your phone torch.",N/A
Sintra old town,Sight,Historic Centre,"Sintra Vila, 2710 Sintra",Free,"16:15 - wander the old-town lanes and shops. As much or as little as energy allows.",N/A
Palácio Nacional de Sintra,Sight,Palace,"Largo Rainha Dona Amélia, 2710-616 Sintra",Free from outside,"16:15 - the exterior is the point: the twin conical kitchen chimneys that define the Sintra skyline.",N/A
Sintra station,Transport,Railway Station,"Avenida Dr. Miguel Bombarda, 2710-590 Sintra","2.30 EUR/person","17:00 train Sintra to Rossio, ~40 min - beats the evening crowds home. If you would rather do dinner in Sintra, take the ~20:00 train instead.",N/A
Cervejaria Ramiro,Dinner,Seafood,"Avenida Almirante Reis 1, 1150-007 Lisboa","30-45 EUR/person","19:30 easy Lisbon evening - ARRIVE 19:00 SHARP for the queue. Garlic prawns, then the prego as dessert. A 10-min walk from the apartment.",https://cervejariaramiro.pt/
Tascantiga,Dinner,Petiscos,"Escadinhas da Fonte da Pipa 4, 2710-542 Sintra","15-25 EUR/person","ALTERNATIVE - dinner in Sintra on the petiscos terrace, then the ~20:00 train home.",N/A
Incomum,Dinner,Modern Portuguese,"Rua Dr. Alfredo da Costa 22, 2710-523 Sintra","25-40 EUR/person","ALTERNATIVE - dinner in Sintra, modern kitchen, book ahead. Then the ~20:00 train home.",N/A
