Name,Category,Type,Address,Cost Range,Tips,Website
"Mesón de Cándido","Lunch","Historic Cochinillo Restaurant (1884)","Plaza del Azoguejo 5 40001 Segovia","€40–55/person","Spain's most famous cochinillo restaurant since 1884 — 5 generations of the Cándido family. Directly beneath the Aqueduct arch. Plate-smashing ceremony performed straight-faced. Every Spanish president 3 monarchs Hemingway Bobby Fischer Dalai Lama have eaten here. BOOK NOW for Fri Sep 4 13:30 — summer Fridays fill. Open daily lunch 13:00–16:30 dinner 20:00–23:00. +34 921 425 911. candido@mesondecandido.es","https://mesondecandido.es/en/reservations/"
"Restaurante José María","Lunch","Critics-Pick Cochinillo","C/ Cronista Lecea 11 40001 Segovia","€40–55/person","Critics' choice for best cochinillo in Segovia — more refined less theatrical. Founded 1982 by José María Ruíz. Restored building one block from Plaza Mayor. Deepest wine list in Segovia (own-label Ribera del Duero). Open every day of the year kitchen from 12:30. Online booking on website; under 48h phone +34 921 461 111 or reservas@restaurantejosemaria.com.","https://www.restaurantejosemaria.com/"
"Casa Duque","Lunch","Historic Cochinillo (1895)","C/ Cervantes 12 40001 Segovia","€30–45/person","Third of the classic cochinillo trio (since 1895). Rustic stone-vaulted dining rooms on multiple levels. Same plate-smashing tradition as Cándido — quieter slightly cheaper. 5th-generation Duque family still runs it. Good backup if first two booked. Also excellent cordero asado. +34 921 462 487.","https://www.restauranteduque.es/"
"El Fogón Sefardí","Lunch","Sephardic-Influenced","C/ de la Judería Vieja 17 40001 Segovia","€30–40/person","A completely different angle on Segovia food — Sephardic-influenced cuisine in a restored medieval building in the Jewish Quarter. No cochinillo on the menu (Jewish dietary laws). Lamb tagine eggplant in honey gallina trufada trenza segoviana. Atmospheric candle-lit small. +34 921 466 250.","N/A"
"La Concepción","Café / Light Lunch","Plaza Mayor Café","Plaza Mayor 15 40001 Segovia","€15–25/person","Lighter modern café-restaurant on the Plaza Mayor. Good if family wants casual lunch instead of 2-hour cochinillo experience — tapas salads ponche segoviano. Walk-in fine.","N/A"
"Mesón Mayor","Lunch","Plaza Mayor Mid-Range","Plaza Mayor 3 40001 Segovia","€25–35/person","Plaza Mayor mid-range less famous than the cochinillo trio but does the same wood-fired roasts at lower prices. Decent backup.","N/A"
"La Cocina de Segovia","Lunch","Hotel Restaurant","Plaza Mayor 12 40001 Segovia (inside Hotel Infanta Isabel)","€30–45/person","Quietly excellent — less famous so less booked. Castilian classics done well. View over Plaza Mayor from some tables. +34 921 461 300.","N/A"
"Confitería El Alcázar","Pastry Shop","Inventor of Ponche Segoviano (1926)","Plaza Mayor 13 40001 Segovia","€2–5/piece","THE inventor of the ponche segoviano — Ponche Segoviano® is their registered trademark since 1926. On the Plaza Mayor (old notes said C/ Marqués del Arco — wrong; it's Plaza Mayor 13). Also florones mantecadas yemas. Open daily ~10:00–19:00 — go before 19:00 or use Limón y Menta. +34 921 462 118.","https://www.confiteriaelalcazar.com/"
"Pastelería Limón y Menta","Pastry Shop","Plaza Mayor Pastry","C/ Isabel la Católica 2 40001 Segovia","€2–6/piece","The locals' other favourite for ponche segoviano — 30 seconds off the Plaza Mayor. Excellent café con leche; a few outdoor tables face the square. Open Fri to 20:30 — the reliable evening ponche stop. +34 921 462 141.","https://www.pastelerialimonymenta.com/"
"Cafetería Limón y Menta (breakfast)","Breakfast","Plaza Mayor Café","C/ Isabel la Católica 2 40001 Segovia","€3–8/person","Breakfast at the edge of the Plaza Mayor — café con leche + tostada con tomate the classic Spanish breakfast. Outdoor seats. Only if you arrive hungry — the Aqueduct comes first.","N/A"
"Café Jeyma","Breakfast","Working-Class Café","C/ del Carmen 6 40001 Segovia","€3–5/person","Local working-class café near the Aqueduct — €3 desayuno completo (coffee + tostada + juice).","N/A"
"Helados Acueducto","Gelato","Italian Gelato","C/ Cervantes 25 40001 Segovia","€3–4","Genuine Italian gelato 2-min walk from the Aqueduct — perfect post-cochinillo cool-down. Stracciatella limón pistachio.","N/A"
"El Rincon de Vero","Menu del Dia","Local Restaurant","Segovia historic centre","Menu around 11.90 EUR","LOCALS TIER Menu del dia with four starters four mains dessert and drink Sopa castellana judiones chocolate cheese cake Weekend menu also available Small room",N/A
"Restaurante California","Menu del Dia","Local Restaurant","Segovia","Menu around 13 EUR","Home cooking judiones cod salad asparagus piquillos homemade desserts and cochinillo Small so reserve One of the best cheap but good options in town",N/A
"La Panera","Menu del Dia","Local Restaurant","Segovia","12-25 EUR person","Very cheap daily menu plus a traditional menu with roast cochinillo and judiones Good when half the table wants the roast and half wants a 12 EUR lunch",N/A
"De Bote en Bote","Tapas","Tapas Bar","Segovia centre","3.50-14.50 EUR a la carte","Central tapas and raciones modern list with vegetarian options The no ceremony alternative to a two hour roast lunch",N/A
