Name,Category,Type,Address,Cost Range,Tips,Website
Plaça de Gaudí,Sight,Viewpoint,"Plaça de Gaudí, 08013 Barcelona",Free,"08:15 - get the exterior photos NOW in soft light before the tour buses. The Nativity façade (the one Gaudí finished himself) faces the little lake here for the classic reflection shot.",N/A
Cafés on Avinguda de Gaudí,Breakfast,Café,"Avinguda de Gaudí, 08013 Barcelona","3-6 EUR/person","08:15 breakfast - croissant + café amb llet counters from ~08:00, 2-5 min from the hotel. A granja stop 5 min away does thick hot chocolate if the teens need bribing uphill.",N/A
Park Güell,Sight,Park,"Carretera del Carmel 23, 08024 Barcelona","BOOKED - locator 700328431455, 4 x general","09:30 entry, 30-MIN WINDOW - be at the gate by 09:30, no re-entry once you exit. Taxi/Bolt from the hotel ~15 min, 10-12 EUR (recommended over the 40-min Metro). Dragon staircase, the trencadís serpentine bench, 86-column Hypostyle Hall, best city-and-sea panorama going. ~1.5 hrs.",https://parkguell.barcelona/en/
Baixada de la Glòria escalators,Transport,Escalators,"Baixada de la Glòria, Barcelona","T-casual ride","Metro alternative to Park Güell - L5 to Diagonal, L3 to Vallcarca, then these outdoor escalators + a 15-min uphill walk. ~40 min total.",N/A
Casa Vicens,Sight,Gaudí House,"Carrer de les Carolines 20-26, 08012 Barcelona","Free from the street (interior 16-18 EUR)","~11:30 on the walk down into Gràcia. Gaudí's vivid first house (1885) - the tiled facade is a free 5-min stop. Interior only if someone is smitten; it is the quiet Gaudí, no queues.",https://www.casavicens.org/en/
Plaça de la Vila de Gràcia,Sight,Square,"Plaça de la Vila de Gràcia, 08012 Barcelona",Free,"11:15 - walk down into Gràcia (~20 min, downhill) and leave the crowds for the village squares. Low-rise, leafy, local. Pl. del Sol and Pl. de la Virreina are the other two.",N/A
Menú del día on the Gràcia squares,Lunch,Catalan,"Plaça de la Vila de Gràcia / Plaça del Sol, Barcelona","13-18 EUR/person","13:00 lunch, the pick. Any terrace - 3 courses + drink, the local Thursday-lunch ritual, kitchens from 13:00. Menú del día is the move at lunch all week: it makes lunch the cheap big meal, then tapas-size the dinner. Kitchens thin out after 15:30.",N/A
Bodega Quimet,Lunch,Bodega,"Gràcia, Barcelona","12-18 EUR/person","13:00 lunch option - 1920s barrel bodega, vermouth, conserves, cheese/jamón boards. Atmosphere pick, light grazing rather than a hot meal.",N/A
Parking Pizza,Lunch,Pizza,"Gràcia / toward Diagonal, Barcelona","15-22 EUR/person","13:00 lunch option - wood-fired Neapolitan, local crowd, teen-pleaser. ~15 min walk toward Diagonal.",N/A
DelaCrem,Gelato,Ice Cream,"Carrer d'Enric Granados 15, 08007 Barcelona","4-6 EUR","Cult artisan gelato - a 20-min detour into Eixample. Save it for a Passeig de Gràcia evening rather than forcing it into the Gràcia block.",N/A
Recinte Modernista de Sant Pau,Sight,Art Nouveau Complex,"Carrer de Sant Antoni Maria Claret 167, 08025 Barcelona","17 EUR/pp after 14:00, ages 12-24 11.90 EUR = 57.80 EUR for four; under 12 free","15:45 - 10 min walk from the hotel. The world's largest Art Nouveau complex: Domènech i Montaner built a hospital as a garden city (1902-1930), twelve tiled pavilions, wards linked by flower-lined tunnels, working until 2009. Daily 09:30-18:30, last entry 18:00. Almost no queue. If the siesta ran long, the facades from Av. Gaudí are free.",https://www.santpaubarcelona.org/en/
Avinguda de Gaudí,Sight,Pedestrian Avenue,"Avinguda de Gaudí, 08025 Barcelona",Free,"17:20 - a straight 10-min pedestrian walk framed by the two UNESCO landmarks at either end. Be at the Sagrada Família entrance 17:30, passports out.",N/A
Sagrada Família,Sight,Basilica,"Carrer de Mallorca 401, 08013 Barcelona","BOOKED - Thu 27/08/2026, entry 17:45, English guided tour 18:30, code 103719876","THE FIXED POINT OF THE DAY. Tickets are NOMINATIVE - bring everyone's passport, names are checked at the door. Be at the entrance 17:30, the 15-minute entry window is enforced. Evening slot is the better one: late-August sun through the western Passion glass floods the nave red, orange and gold. Tour + free time ~2 hrs, out ~19:45 (sunset 20:34).",https://www.sagradafamilia.org/en/worship-at-the-basilica
Cervecería Catalana,Dinner,Tapas,"Carrer de Mallorca 236, 08008 Barcelona","20-30 EUR/person","20:15 dinner in Eixample, walking distance, no Metro needed. Arrive 20:00 sharp or queue.",N/A
El Nacional,Dinner,Food Hall,"Passeig de Gràcia 24 Bis, 08007 Barcelona","25-40 EUR/person","20:15 dinner option - everyone picks their own counter. Also the wet-weather swap for the Gràcia squares block.",https://www.elnacionalbcn.com/en/
Casa Batlló,Sight,Gaudí House,"Passeig de Gràcia 43, 08007 Barcelona",Free from the street,"Optional nightcap walk - the Passeig de Gràcia facades (Casa Batlló + La Pedrera) lit up at night are the free version of the 40 EUR interiors we deliberately skipped. 10-min taxi if legs are dead.",https://www.casabatllo.es/en/
