Name,Category,Type,Address,Cost Range,Tips,Website
Plaça de la Reina,Meeting Point,Square,"Plaça de la Reina, 46001 València",Free,"~11:20 THE MEETING POINT - agree it in advance and pin it. Works for both a train arrival (10-15 min walk from either station) and a bus arrival from Benidorm. OPTIONS B AND C ONLY - Sunday Aug 30.",N/A
La Lonja de la Seda,Sight,UNESCO Silk Exchange,"Carrer de la Llotja 2, 46001 València","FREE Sundays 10:00-14:00","11:45 GO HERE FIRST - the 14:00 Sunday closing is the day's only hard door. UNESCO World Heritage 15th-century silk exchange: a hall of spiralling twisted stone columns fanning into palm-tree vaulting. The best thing in Valencia in 45 minutes, and free on Sundays.",N/A
Plaça de la Verge,Sight,Square,"Plaça de la Verge, 46003 València",Free,"12:35 - the cathedral apse, the Basílica dels Desemparats, the Turia fountain, café tables in the shade. Wander rather than tick; this is catching-up-with-your-friend time.",N/A
Valencia Cathedral (Holy Grail),Sight,Cathedral,"Plaça de l'Almoina s/n, 46003 València","~9 EUR incl. audio guide","SUNDAY HOURS 14:00-18:30 ONLY - collides head-on with the paella lunch. Pick one: rice or the Grail. If the cathedral wins, eat in the old town instead and go in at 16:00. Houses the Santo Cáliz, claimed as the Holy Grail.",N/A
Mercat Central,Sight,Market,"Plaça de la Ciutat de Bruges s/n, 46001 València",Free to enter,"CLOSED SUNDAYS - do not walk here on Aug 30. One of Europe's great modernista market halls; it needs a weekday, so it is not happening this trip. Noted so nobody detours to a locked door.",N/A
La Pepica,Lunch,Paella,"Passeig de Neptú 6, 46011 València","35-50 EUR/person, 30 EUR/pp minimum","14:00 LUNCH - THE PICK UNDER OPTION B. Beachfront since 1898, terrace facing the sea, Hemingway's table. Paella valenciana the orthodox way: chicken, rabbit, garrofó beans, saffron. SUNDAY 13:00-16:00. BOOK: +34 963 71 03 66. Rice is cooked to order, minimum 45 min, so a 14:00 table eats ~14:45 - that is normal.",https://lapepica.com/en/
La Marcelina,Lunch,Paella,"Passeig de Neptú 8, 46011 València","20-25 EUR/person","VALUE ALTERNATIVE next door to La Pepica - older still, founded 1888, same sea view and same rice tradition, noticeably cheaper. The call if five people at 40 EUR each stings. SUNDAY 11:00-16:00. Book: +34 963 71 20 25.",N/A
Casa Carmela,Lunch,Paella,"Carrer d'Isabel de Villena 155, 46011 València",—,"DO NOT PLAN FOR THIS ON A SUNDAY - CLOSED SUNDAYS, and no dinner service on any day. The connoisseur's orange-wood-fired paella, kitchen 13:00-16:00 Mon-Sat only. Listed so it is not mistakenly chosen.",https://www.casa-carmela.com/
Platja de la Malvarrosa,Sight,Beach,"Platja de la Malvarrosa, 46011 València",Free,"16:15 - swim and walk it off with your friend. Wide, clean, shallow, lifeguarded, showers along the promenade, sea ~25 C in late August. PACK SWIMWEAR AND A CHANGE OF CLOTHES IN A DAY BAG - there is no hotel to go back to. This is the Barceloneta afternoon, relocated. Blue-zone parking here is FREE on Sundays.",N/A
El Palmar (Albufera),Lunch,Paella Village,"El Palmar, 46012 València","25-40 EUR/person","OPTION C ONLY - THE WHOLE ARGUMENT FOR RENTING A CAR. The birthplace of paella: a fishing village on stilts in the Albufera lagoon, 15 km / 20-25 min south of Valencia on the V-15, ~25 restaurants cooking rice over orange-wood fires. Effectively unreachable by public transport on a day-trip schedule. BOOK THE TABLE and arrive before 14:00: parking is normally free and plentiful EXCEPT summer Sunday lunchtimes, which is exactly when you would arrive.",N/A
