Name,Category,Type,Address,Cost Range,Tips,Website,Family
"Roman Aqueduct","Main Attraction","1st-Century Roman Monument","Plaza del Azoguejo 40001 Segovia","Free","166 arches 29m at tallest. 17000 granite blocks fitted without mortar without cement without metal clamps — pure precision stonecutting from the 1st century AD. Carried water 15km from the Frío river. In active use until 1973 — 1900 years of service. Walk full length from Plaza del Azoguejo. Best from Plaza del Azoguejo looking up. Morning light from east is best.","N/A","Excellent — kids jaw-drop"
"Alcázar de Segovia","Main Attraction","Medieval Royal Castle","Plaza Reina Victoria Eugenia s/n 40001 Segovia","€10/adult; €8 student/reduced; €7 without tower; under 6 free","The castle Walt Disney's artists studied for Cinderella Castle. Perched on an 80m granite wedge at the confluence of two rivers. Isabella proclaimed Queen of Castile here (1474). Fire-destroyed 1862 faithfully reconstructed. 10 reception rooms. The Torre de Juan II climb (152 narrow spiral steps) gives best view in central Spain. Summer hours 10:00–19:30 last entry 19:00. Buy timed tickets at entradas.alcazardesegovia.com — tower allocations sell out first.","https://www.alcazardesegovia.com/","Excellent — tower climb is highlight"
"Segovia Cathedral","Main Attraction","Last Gothic Cathedral in Spain","Plaza Mayor s/n 40001 Segovia","€4/adult; €3 under-25 students; under 8 free","The last great Gothic cathedral built in Spain — begun 1525 after the previous one was burned in the Comuneros' revolt against Charles V. Pointed arches ribbed vaults flying buttresses (anachronistic when Europe was building Renaissance). Beautiful carved walnut choir stalls. Cloister stonework salvaged from burned predecessor. Ticket includes Episcopal Palace. Apr–Oct Mon–Sat 09:00–21:30 Sun from 13:00 (last entry 30 min before). Guided tower tour €7 at fixed slots 10:30–19:30 — book at tickets.catedralsegovia.es. Mass Mon–Sat 10:00.","https://catedralsegovia.es/","Good"
"Jewish Quarter (La Judería)","Hidden Gem","Medieval Sephardic Quarter","La Judería Vieja and Judería Nueva 40001 Segovia","Free","Segovia had one of Spain's largest medieval Jewish communities before the 1492 expulsion (Edicto de Granada signed by Isabella and Ferdinand right here). Narrow medieval streets between Aqueduct and Cathedral preserve the Jewish urban fabric. Look for Corpus Christi convent (built on the foundations of the main synagogue — medieval stonework still visible in courtyard).","N/A","Good"
"Centro Didáctico de la Judería","Hidden Gem","Sephardic Interpretive Centre","C/ de la Judería Vieja 12 40001 Segovia","€1 (free Wed)","Inside the restored 15th-century house of Abraham Seneor. Overview of pre-1492 Sephardic life in Segovia — original wooden ceiling period domestic objects explanation of cabbalistic decorative motifs on Segovia building exteriors. Quick visit good context before walking quarter. Fri 10:00–13:00 + 16:00–18:00 last entry 15 min before close — on our day go before 12:45.","N/A","Good"
"Iglesia de la Vera Cruz","Hidden Gem","Templar 12-Sided Church (1208)","Carretera de Zamarramala 40001 Segovia","€2–3/adult (cash)","12-sided Romanesque Templar church consecrated 1208 — one of the only 12-sided churches in Spain. Built by Knights Templar (or possibly the Order of the Holy Sepulchre — records disagree). Once held a fragment of the True Cross. Climb the tower for the best long view back at the Alcázar across the valley. Almost no day-trippers. 15-min walk down from old city. Summer Wed–Sun 10:30–13:30 + 16:00–19:00; Tue opens 16:00; closed Mon. Fri Sep 4 open — our 18:00 slot verified.","N/A","Good — older kids"
"Mirador del Alcázar (valley view)","Hidden Gem","Panoramic Viewpoint","Below the Alcázar in the Eresma valley 40001 Segovia","Free","Walk down the steep path from Alcázar gates into the river valley. From the river floor: the classic Segovia postcard — Alcázar towering on the cliff above. Most photographed view in Segovia and most day-trippers miss it.","N/A","Excellent — best photo"
"Monasterio de El Parral","Hidden Gem","15th-Century Active Monastery","C/ del Parral s/n 40003 Segovia (in the Eresma valley)","Free (guided; donation)","Active 15th-century Hieronymite monastery founded by Enrique IV of Castile (Isabella's half-brother) in 1447. Still inhabited by Hieronymite monks — extraordinary 15th-century retablo. Visits are GUIDED ONLY: Wed–Sun at 11:00 and 17:00 (no booking needed); closed Mon–Tue. Gregorian chant is at the Sunday 12:00 Mass — NOT daily evening Vespers as older guides claim. On a Friday evening the church is shut — admire from the river path.","N/A","Good — Sunday chant is singular"
"Iglesia de San Martín","Hidden Gem","11th-Century Romanesque","Plaza de San Martín 40001 Segovia","Free","11th-century Romanesque church with rare exterior arcaded porch (one of few surviving in central Spain) carved tympanum and 13th-century tower. Quiet dim ancient. On the Calle Real walk-up between Aqueduct and Plaza Mayor. Interior only reliably opens around Mass times — treat as a porch-and-facade stop and duck in if the door is open.","N/A","Good"
"Iglesia de San Justo","Hidden Gem","12th-Century Romanesque Frescoes","Plaza San Justo 40001 Segovia","€2/adult","Small 12th-century Romanesque church just outside the old city walls (5 min from Aqueduct) with rare surviving 12th-century frescoes inside — Christ Pantocrator in apse Last Supper Resurrection. Almost completely unvisited by day-trippers. Tue–Sat 10:30–13:30 + 16:30–19:00 (variable).","N/A","Good — quietly amazing"
