Name,Category,Type,Address,Cost Range,Tips,Website
Bar El Fútbol,Breakfast,Bar,"Coso, 50001 Zaragoza","3-4 EUR/person","08:30 - tostada con tomate + café con leche at any Coso-side bar; this is the local-institution pick (verify on site). Fantoba does not open until 10:00, so the famous pastry stop comes this afternoon instead. Pack fully at 08:15 first - checkout is a lockbox drop, so clearing out early costs nothing and buys the whole morning.",N/A
Estación Zaragoza Delicias (consigna),Transport,Left Luggage,"Calle Rioja 33, 50011 Zaragoza","Taxi ~8-12 EUR; lockers 4-6 EUR/bag","09:30 - keys in the lockbox, taxi to Delicias with the bags, into the consigna (08:00-21:00, keep passports handy). From here you are hands-free AND the bags are already where tonight's train leaves from. Nothing can go wrong at 17:15.",N/A
La Aljafería Palace,Sight,Moorish Palace,"Calle de los Diputados, 50004 Zaragoza","7 EUR adult / 2 EUR reduced (students, carnet joven - bring the girls' student IDs) / under-12 free; audioguide 3 EUR","10:15, ALLOW 1.5-2 HRS, DO NOT RUSH - THE REASON TO STOP IN ZARAGOZA. Taxi ~6 EUR from Delicias or a 20-min walk. Daily 10:00-18:00. An 11th-century Moorish palace built by the Hudid kings - the finest surviving Islamic palace architecture in Spain outside Andalucía. Filigree arches around the Patio de Santa Isabel, the octagonal oratory with its mihrab, then the Catholic Monarchs' throne room with its gilded artesonado ceiling. BOOK TIMED ENTRY ONLINE at tickets.aljaferia.es - capacity is limited. Occasional wings close for parliamentary business. Do the outside walk first while it is cool - limited shade in the moat gardens.",https://tickets.aljaferia.es
Mercado Central,Sight,Market,"Avenida César Augusto 110, 50003 Zaragoza",Free to browse,"12:15 - walk back into the old town (~18 min via C/ Conde de Aranda). 1903 Modernist iron-and-glass market by the Roman walls, stalls run till ~14:00 so you catch it alive. SNACK RESTRAINT ADVISED: Casa Lac is at 13:30.",N/A
Murallas Romanas,Sight,Roman Walls,"Avenida César Augusto, 50003 Zaragoza",Free,"12:15 - the surviving stretch of Roman wall outside the market, with the bronze Caesar Augustus statue marking the city's founding in 14 BC. Caesaraugusta was one of only three cities Augustus named after himself in full.",N/A
Museo del Foro de Caesaraugusta,Sight,Roman Museum,"Plaza de la Seo 2, 50001 Zaragoza","4 EUR adult / 3 EUR students / under-15 free","12:45, 40 min, ideal pre-lunch. TUE-SAT 10:00-14:00 & 17:00-21:00, CLOSED MON - which is exactly why it is today. The excavated Roman forum preserved underground beneath Plaza de la Seo, with a genuinely good audiovisual reconstruction. Cool and dark. The 7 EUR Roman-route combo only pays if you do 2+; today one is enough.",N/A
Casa Lac,Lunch,Aragonese,"Calle Mártires 12, 50003 Zaragoza","30-45 EUR/person à la carte","13:30 - BOOKED. Spain's OLDEST RESTAURANT LICENSE (1825), in the heart of El Tubo: chandeliered upstairs dining room, downstairs bar. Order the ternasco al horno (roast Aragonese lamb) and the market vegetables they are quietly famous for; migas aragonesas to start if they have them. Lunch service 12:30/13:00-16:00. Reserve on 976 39 61 96 or restaurantecasalac@gmail.com. 2 min from the Foro.",N/A
Restaurante El Fuelle,Lunch,Aragonese,"Calle Mayor 59, 50001 Zaragoza","20-35 EUR/person","BACKUP if Casa Lac is full - Aragonese wood-oven classic, open Tue lunch, tel 976 39 80 33.",N/A
Calle Alfonso I,Sight,Street,"Calle Alfonso I, 50003 Zaragoza",Free,"15:15 - the 19th-century straight-shot street framing the Pilar's domes. Zaragoza's postcard view in daylight.",N/A
Pastelería Fantoba,Snack,Pastry,"Calle Don Jaime I 21, 50001 Zaragoza","5-10 EUR","15:15 - 1856, Egyptian-revival interior, open daily 10:00-22:00. Buy TRENZA DE ALMUDÉVAR, the braided almond-and-raisin pastry that is the city's signature sweet. BUY TWO: one now with coffee, one for the AVE.",N/A
Puente de Piedra (daylight),Sight,Bridge,"Puente de Piedra, 50003 Zaragoza",Free,"16:00 - the daylight version of last night's sunset view: full-colour tiled domes, herons on the sandbars.",N/A
Teatro de Caesaraugusta,Sight,Roman Ruins,"Calle de San Jorge 12, 50001 Zaragoza",Free from the walkway,"16:00 optional, 5 min south - the Roman theatre ruins are visible free from the surrounding walkway.",N/A
Iglesia de la Magdalena,Sight,Mudéjar Church,"Plaza de la Magdalena, 50002 Zaragoza",Free from outside,"16:00 optional - the Mudéjar tower two blocks from the apartment street, our nightly landmark. Rounds out the set.",N/A
AVE 03162 to Madrid Atocha,Transport,High-Speed Train,"Estación Zaragoza Delicias, Calle Rioja 33, 50011 Zaragoza","BOOKED - locator 4U5NZV, Coche 7, seats 2C/2D/3C/3D","16:35 head to Delicias (bus 34 from Av. César Augusto / Mercado Central stop, or taxi ~8-12 EUR - taxi recommended at this hour). 16:55 collect bags from the consigna (passports again), water + snacks. 17:15 at the platform area - ACCESS GATES CLOSE 2 MINUTES BEFORE DEPARTURE. 17:48 departure, Madrid Atocha 19:44.",https://www.renfe.com
