Name,Category,Type,Address,Cost Range,Tips,Website
"La Pepica","Paella","Historic Restaurant","Passeig Neptú 6 La Malvarrosa","25-40 EUR pp","Valencia's most famous paella restaurant since 1898. Hemingway ate here. Paella lunch only 13:00-16:00. On the beachfront. Reference paella valenciana with rabbit and chicken.","N/A"
"Casa Roberto","Paella","Traditional","C/ del Mossén Femades 4 Valencia","20-30 EUR pp","Excellent paella valenciana near Old Town. One of most recommended by locals. Lunch only for paella. Book ahead.","N/A"
"Canalla Bistro","Dinner","Creative Tapas","C/ de Maestro Serrano 7 Ruzafa","20-30 EUR pp","Ricard Camarena's casual restaurant in Ruzafa. Creative tapas global influences fun atmosphere. Book ahead. Good dinner option Aug 27.","N/A"
"Horchatería Santa Catalina","Café","Historic Café","Pl. de Santa Catalina 6 Valencia","5-10 EUR","THE horchata institution of Valencia since 1936. Horchata de chufa + fartons. Breakfast option morning of Aug 28. Open from 08:00.","N/A"
"El Rinconet","Dinner","Neighbourhood Restaurant","Ruzafa neighbourhood Valencia","18-25 EUR pp","Small local restaurant in Ruzafa loved by locals. Good dinner service with traditional rice dishes. Walk-in usually fine.","N/A"
"La Fusta","Dinner","Traditional","Ruzafa neighbourhood Valencia","15-22 EUR pp","Traditional Valencian food local crowd. Reliable walk-in dinner option.","N/A"
"El Poblet","Dinner","Michelin Fine Dining","C/ del Correo Viejo 8 Valencia","80-100 EUR pp","Ricard Camarena's Michelin-starred restaurant. Book weeks ahead. Special occasion splurge.","N/A"
"Mercado de Colón","Drinks","Food Hall","C/ de Jorge Juan 19 Valencia","10-20 EUR","Beautiful 1916 Modernist building. Good drinks and light dinner option. More refined atmosphere.","N/A"
"Riff","Modern Spanish","Fine Dining","C/ del Conde d'Altea 18 Valencia","€80–100/person","One of Valencia's best modern restaurants. Bernd Knöller's seasonal tasting menu. A splurge option. Book well ahead.","N/A"
"Mercado Central","Market","Food Market","Plaça de la Ciutat de Bruges Valencia","€5–15/person","One of the great market buildings of Europe — 1928 Modernista dome of iron, tile, and stained glass. Excellent for buying train snacks from charcutería/cheese stalls. Opens 07:30.","N/A"
