Name,Category,Type,Address,Cost Range,Tips,Website
"La Cova Fumada","Seafood","Local Institution","C/ del Baluard 56 Barceloneta","15-25 EUR pp","NO SIGN on door. Cash only. Invented the Bomba. Hours: Mon-Wed 9:00-15:00, Thu-Fri 9:00-15:00 + 18:00-20:00, SATURDAY 9:00-13:00 ONLY, closed Sun. Our plan: Day 3 Option B, Fri Aug 28 - AT THE DOOR AT 18:15. The 18:00-20:00 evening service runs THURSDAYS AND FRIDAYS ONLY and they close at 20:00 regardless. This is the single best reason to run Option B on a Friday. Call +34 932 21 40 61 re August holiday days. Backup: Bar Jai-Ca 2 min away.","N/A"
"Quimet & Quimet","Tapas","Standing Bar","C/ del Poeta Cabanyes 25 Poble-sec","15-20 EUR pp","CLOSED ALL AUGUST (staff holiday) — off this trip, keep for next visit. Normally Mon-Fri 12:00-16:00 + 18:00-22:30, closed Sun. Standing room only. Sardines+yogurt+honey montadito is unmissable.","N/A"
"Cal Pep","Seafood Tapas","Local Institution","Pl. de les Olles 8 El Born","30-40 EUR pp","Sit at the bar not the dining room. No menu — chef decides. Hours: Mon 19:30-23:30, Tue-Fri 13:00-15:45 + 19:30-23:30, Sat 13:15-15:45 + 19:30-23:30, CLOSED SUN. Join the queue 15 min before opening. One of the most beloved restaurants in Barcelona.","N/A"
"El Xampanyet","Tapas Bodega","Historic Bar","C/ de la Montcada 22 El Born","15-22 EUR pp","One of Barcelona's oldest bodegas (1929). CLOSED FOR AUGUST BREAK — reportedly reopening ~Aug 24-25 2026, confirm at the window before queueing. Then Tue-Sat 12-16 + 19-23:30, closed Sun-Mon. House xampanyet cava + legendary anchovies. Opposite the Picasso Museum — a Day 3 Option B lunch candidate (Tue-Sat 12:00-16:00) if open.","N/A"
"7 Portes","Seafood","Historic Restaurant","Pg. d'Isabel II 14 El Born waterfront","40-60 EUR pp","Barcelona institution since 1836. Open DAILY 13:00-01:00 kitchen non-stop. BOOK NOW for the Sun Aug 30 ~21:00 farewell dinner — August weekends fill weeks out. Order paella Parellada or arros negre. White-jacketed waiters.","https://www.7portes.com/en/"
"Carrer de Blai (pintxos street)","Tapas","Pintxos Street","Carrer de Blai Poble-sec","2-3 EUR per pintxo","Best Basque-style pintxos in Barcelona. Go 18:00-20:00. Try Bar Blai 9 and Tasca el Corral. Kids pick their own from bar displays. Most fun cheap eating in city.","N/A"
"Bar del Pla","Tapas","Traditional Bar","C/ de la Montcada 2 El Born","20-28 EUR pp","THE DAY 3 OPTION B LUNCH PICK, 14:00 - walk-in, arrive by 13:45 for the vault tables. Vaulted brick interior. Outstanding croquetes de pernil and patatas bravas. Quieter than nearby tourist spots. Great wine list. Go for lunch.","N/A"
"La Pineda","Charcuterie Bar","Historic Shop","C/ del Pi 16 El Gòtic","15-20 EUR pp","Open since 1930 — utterly unchanged. Shelves of cured meats cheeses conservas. Wine poured from barrels. Almost no tourists know this place. Tiny — 10 people max.","N/A"
"Bodega Quimet","Vermouth Bodega","Historic Bar","C/ de Vic 23 Gràcia","12-18 EUR pp","Ancient barrels cured meats hanging ceiling. Open since 1920s. Go Sunday 12:00-14:00 for full local vermut ritual. Vermouth on tap + tinned conservas.","N/A"
"Ciudad Condal","Tapas","Restaurant","Rambla de Catalunya 18 Eixample","20-28 EUR pp","Always buzzing. No reservations — arrive at opening 13:00 or 20:00. Great patatas bravas croquetas gambas al ajillo. Reliable high-volume quality.","N/A"
