Name,Category,Type,Address,Cost Range,Tips,Website
Sagrada Família (International Mass),Activity,Mass,"Carrer de Mallorca 401, 08013 Barcelona",Free,"Sunday Aug 30, 09:00 - the best liturgy in Barcelona, and it starts exactly when the Girona train would leave. DECIDE MASS BEFORE PICKING THE DAY'S OPTION. The clean solve is the Saturday 20:00 vigil, which frees all of Sunday.",https://www.sagradafamilia.org/en/worship-at-the-basilica
Temple del Sagrat Cor (Tibidabo),Sight,Church,"Plaça del Tibidabo 1, 08035 Barcelona","Church free; small fee for the tower lift","MORNING - the church crowning the city, lift up the tower to the Sacred Heart statue, and the widest view of all. Retro hilltop funfair alongside. Go the integrated-fare way: FGC S1/S2 to Peu del Funicular, Vallvidrera funicular (covered by T-casual), then bus 111 to the summit (also covered) - ~0 EUR transport.",N/A
Funicular de Vallvidrera,Transport,Funicular,"Peu del Funicular, 08017 Barcelona","Covered by T-casual","The integrated-fare leg up toward Tibidabo. Bus 111 continues to the summit, also covered.",N/A
Sarrià village core,Lunch,Catalan,"Sarrià, 08017 Barcelona","15-25 EUR/person","~13:00 - lunch down in Sarrià's village core, then head toward Pedralbes. NOTE: La Boqueria, La Cova Fumada, Quimet & Quimet and El Xampanyet are all CLOSED Sundays - do not route a food stop through La Rambla today.",N/A
Monestir de Pedralbes,Sight,Monastery,"Baixada del Monestir 9, 08034 Barcelona","FREE from 15:00 Sundays (else ~5 EUR)","15:00 - a pristine 14th-c Gothic monastery: three-storey cloister, nuns' cells, herb garden. Quiet and green. Municipal museums are free every Sunday from 15:00, which is why this option runs in the afternoon.",N/A
Montjuïc Castle,Sight,Fortress,"Carretera de Montjuïc 66, 08038 Barcelona","FREE from 15:00 Sundays (else 5-12 EUR)","~17:15 - ramparts for the harbour panorama. Funicular up from Paral·lel is ON THE T-CASUAL. WATCH OUT: the Montjuïc cable car (telefèric, 13 EUR) is NEVER covered, only the funicular is. MNAC is free Saturdays and first Sundays, NOT today, and needs online booking even when free.",https://www.bcn.cat/castelldemontjuic/en/
Tablao de Carmen,Activity,Flamenco Tablao,"Poble Espanyol, Av. de Francesc Ferrer i Guàrdia 13, 08038 Barcelona","~45-50 EUR + drink","OPTIONAL - we are already on Montjuïc for the castle at 17:15, and the ticket includes Poble Espanyol entry. Nothing booked.",N/A
Last beach hour,Sight,Beach,"Platja de Sant Sebastià / Barceloneta, Barcelona",Free,"EVENING - a last beach hour below Montjuïc's far side, or Barceloneta again, before dinner.",N/A
7 Portes,Dinner,Paella,"Passeig d'Isabel II 14, 08003 Barcelona","40-60 EUR/person","~21:00 farewell dinner (booked either way) - paella institution since 1836. Then pack: tomorrow leaves at 09:40.",https://www.7portes.com/en/
Sitges,Sight,Beach Town,"Sitges, Barcelona","~5 EUR/pp each way","LIGHTER 3RD ALTERNATIVE to the whole day - whitewashed beach town with the seafront church on the breakwater, best water near Barcelona. R2 Sud from Passeig de Gràcia, ~40 min.",N/A
