Name,Category,Type,Address,Cost Range,Tips,Website
Confeitaria do Bolhão,Breakfast,Pastry,"Rua Formosa 339, 4000-252 Porto","~1.20 EUR/nata","Coffee + nata to go on the walk out. Opens 07:00 Sat.",https://www.confeitariadobolhao.com/en/
São Bento Station,Transport,Railway Station,"Praça Almeida Garrett, 4000-150 Porto","11.10 EUR/adult single, 20 EUR return to Régua","08:45 walk from the hotel (12 min), be on the platform by 09:00 to claim seats. InterRegional has no seat reservations. Buy at cp.pt or the ticket office. Also worth 5 min for the 20,000 azulejo panels.",https://www.cp.pt
Linha do Douro (train Porto - Régua),Activity,Scenic Railway,"São Bento to Peso da Régua","11.10 EUR/adult single (ages 4-12 half, 13+ full)","09:25 departure, ~1 h 55. Portugal's most scenic railway, running since 1887. First hour is unremarkable - from Mosteirô/Caíde the line hugs the river through terraced vineyards. SIT ON THE RIGHT outbound, left coming back.",https://www.cp.pt
Peso da Régua,Sight,Town,"Peso da Régua, Portugal",Free,"11:20 arrival. Capital of the Alto Douro Wine Region (UNESCO). 10 min walk from the station to the riverside.",N/A
Museu do Douro,Sight,Museum,"Rua Marquês de Pombal, 5050-282 Peso da Régua","~6 EUR/adult, under 14 free - verify on site","11:30, allow 1 hr. The story of port wine - terroir, the rabelo boats, the first demarcated wine region in the world (1756). Good audiovisuals, English captions throughout.",N/A
Castas e Pratos,Lunch,Modern Douro,"Avenida José Vasques Osório, 5050-280 Peso da Régua","30-45 EUR/person","12:45 lunch, top pick. Converted railway warehouse next to Régua station. Deep wine list, terrace views. Book by ~Aug 14.",N/A
DOC Restaurant,Lunch,Fine Dining,"Estrada Nacional 222, Folgosa, 5110-204 Armamar","60-90 EUR/person","12:45 lunch splurge - the Douro's most celebrated dining room, wine pairing, riverside terrace. 12 km taxi from Régua (~15 EUR each way). ONLY fits if you skip the mini-cruise. Book by ~Aug 10.",N/A
Cacho d'Oiro,Lunch,Traditional Portuguese,"Peso da Régua","15-25 EUR/person","12:45 lunch value option - traditional, generous portions. Walk-in usually fine.",N/A
Solar do Vinho do Porto,Activity,Port Tasting,"Régua waterfront, Peso da Régua","5-10 EUR tasting flight","Before or after lunch - port tasting flight on the Régua waterfront.",N/A
Régua - Pinhão mini-cruise,Activity,River Cruise,"Cais de Peso da Régua","~20-25 EUR/person","~15:00, ~2 hrs. The Régua-Pinhão gorge is the most dramatic terraced stretch - the postcard section. Multiple operators from the Régua quay (Rota do Douro and others). BOOK by ~Wed Aug 19 for an August Saturday. Back at the quay ~17:00, 10 min walk to the station.",https://www.rotadodouro.pt
Pinhão,Sight,Village,"Pinhão, Portugal",Free,"Cruise turnaround point. Smaller, prettier, more vineyard-immersed than Régua - Quinta do Bomfim's walkable terraces, the azulejo-tiled station. The 09:25 train continues here (~2 h 20, 12.45 EUR single) but return connections are thinner - save Pinhão for a future overnight.",N/A
Train Régua - São Bento (return),Activity,Scenic Railway,"Peso da Régua to São Bento, Porto","11.10 EUR/adult single","17:13 departure, arrives 19:05. Golden-hour light on the vineyards - LEFT side now.",https://www.cp.pt
Gruta,Dinner,Creative Seafood,"Rua de Santa Catarina 447, 4000-007 Porto","45-55 EUR/person","~20:30 farewell dinner - shift the reservation from 20:00 to 20:30-21:00 for Option B. Portuguese restaurants comfortably take late seatings.",https://www.grutaporto.com/
Escama,Dinner,Modern Atlantic,"Porto city centre","24-35 EUR/person","~20:30 farewell dinner option. The turbot with hazelnut vinaigrette is legendary. Book by Fri Aug 14.",https://escamaporto.com/en/
Cobre,Dinner,Contemporary Portuguese,"Vila Nova de Gaia","35-45 EUR/person","~20:30 farewell dinner option on the Gaia side, bridge views from the terrace.",N/A
Cais da Ribeira,Sight,Neighbourhood,"Ribeira, Porto",Free,"22:30 last night - the illuminated waterfront one final time. Pack, Sunday starts at 05:45.",N/A
