Name,Category,Type,Address,Cost Range,Tips,Website
Girona Cathedral steps (Great Sept of Baelor),Game of Thrones,Cathedral Staircase,"Plaça de la Catedral, 17004 Girona","Free from outside; 7.50 EUR interior incl. audio guide","THE shot. The 90-step Baroque staircase is the Great Sept of Baelor, King's Landing. S6E6 Blood of My Blood - Jaime rides his horse up the steps at the head of the Tyrell army to stop Margaery's walk of atonement and is faced down by the High Sparrow. About 200 local extras; the sea view at the top is CGI. Shoot from the bottom of the square looking up. Faces west-southwest so it is washed out at midday and best late afternoon. Already on the Day 4 plan at 12:35. Clip: https://www.youtube.com/watch?v=T5bdI9b0KrE",https://www.catedraldegirona.cat/
Placa dels Apostols,Game of Thrones,Square,"Plaça dels Apòstols, 17004 Girona",Free,"The terrace at the top of the cathedral steps - where the High Sparrow and the Faith Militant stand looking down at Jaime in S6E6. There is a step-free approach along the right side of the cathedral from here if anyone does not want the 90 steps.",N/A
Portal de Sobreportes,Game of Thrones,City Gate,"Portal de Sobreportes, 17004 Girona",Free,"The Roman-founded twin-towered gate immediately below the cathedral, plus the ramp down from it (Pujada del Rei Marti). Dressed as King's Landing streets below the Great Sept in S6E6. You walk under it going between Sant Feliu and the cathedral - no detour needed.",N/A
Escales de Sant Marti / Pujada de Sant Domenec,Game of Thrones,Staircase,"Pujada de Sant Domènec, 17004 Girona",Free,"Two things in one spot. S6E8 No One - Arya leaps from the steps of Sant Marti Sacosta church into the Braavos market, scattering baskets of oranges, then tumbles down the Pujada de Sant Domenec below. Shoot from the bottom looking up. Already on the Day 4 plan at 16:00, on the way up to the walls. Clips: https://www.youtube.com/watch?v=nffJ-Tcu9CE and https://www.youtube.com/watch?v=kF9VLphyTtE",N/A
Monestir de Sant Pere de Galligants,Game of Thrones,Monastery,"Carrer de Santa Llúcia 8, 17007 Girona",~6 EUR,"The Citadel of Oldtown - S6E10 The Winds of Winter, where Sam and Gilly arrive and Sam walks into the great library. The 12th-c Romanesque facade and the courtyard in front are the shot; the library interior is a set. TUE-SAT 10:00-19:00. Already on the Day 4 plan at 11:30. Clips: https://www.youtube.com/watch?v=-6kBLtbMFLE and https://www.youtube.com/watch?v=JOuJhGYwMY8",N/A
Pont sobre el riu Galligants,Game of Thrones,Bridge,"Carrer de Santa Llúcia, 17007 Girona",Free,"A canal bridge in Braavos. S6E7 The Broken Man closing scene - Arya leans on the parapet and the Waif, disguised as an old woman, stabs her in the gut; she falls into the water. The little stone bridge 30 seconds from the monastery door, easy to walk over without noticing. Clip: https://www.youtube.com/watch?v=n_THzkANNPU",N/A
Banys Arabs (Arab Baths),Game of Thrones,Historic Baths,"Carrer Ferran el Catòlic s/n, 17004 Girona",~3 EUR,"The baths of Braavos - S6E8 No One, Arya ducks in mid-chase to shake the Waif. 12th-c Romanesque baths on a Roman plan, not actually Arab. Roughly 10:00-19:00 in summer. The domed frigidarium skylight is the shot. THE ONLY REAL DETOUR ON THE GOT LIST - 30-40 min - and a good hot-afternoon call on its own merits.",https://www.banysarabs.org/
Passeig Arqueologic / Carrer de Ferran el Catolic,Game of Thrones,Street,"Passeig Arqueològic, 17004 Girona",Free,"The harbour market of Braavos - S6E7 The Broken Man, where Arya buys her passage on a ship to Westeros just before she is stabbed. The shaded lane directly outside the Arab Baths running up toward the walls; HBO dressed the whole street with stalls and rigging. Clip: https://www.youtube.com/watch?v=cmUuEgEIzYk",N/A
Jardins de la Francesa,Game of Thrones,Garden,"Jardins de la Francesa, 17004 Girona",Free,"Streets and gardens of Braavos across several S6 episodes. Free garden behind the cathedral apse - cypresses, ivy, cathedral wall overhead. The coolest, shadiest place in Girona and already the 12:10 stop on Day 4.",N/A
Carrer del Bisbe Josep Cartana,Game of Thrones,Street,"Carrer del Bisbe Josep Cartañà, 17004 Girona",Free,"The Braavosi street where blind Arya begs with her bowl - S6E1 The Red Woman - and where her stick-fighting training with the Waif was shot across S6E1-E3. The stepped lane at the foot of the stairs behind the cathedral, 1 min from the Jardins. The low stone wall she sits against is unchanged. Clip: https://www.youtube.com/watch?v=GwwfYdAXuP4",N/A
Placa dels Jurats,Game of Thrones,Square,"Plaça dels Jurats, 17004 Girona",Free,"The theatre of Braavos (Izembaro's troupe). S6E5 The Door - Arya watches The Bloody Hand, the burlesque play about Joffrey's death, and is sent to poison Lady Crane. Small square beside the Jardins de la Francesa under the cathedral apse; the wooden playhouse was built and struck for the shoot, so there is nothing marking it. Clip: https://www.youtube.com/watch?v=pxDwDGA28pE",N/A
Carrer de Sant Llorenc (the chase lanes),Game of Thrones,Street,"Carrer de Sant Llorenç, 17004 Girona",Free,"The back streets of Braavos in the S6E8 foot chase - Carrer de la Claveria, Carrer de Sant Llorenc, Escola Pia and the Call lanes. All inside the Jewish quarter, so you walk most of them at 10:35 without trying. Sant Llorenc, the tunnel-like stepped lane, is the most photographed street in the Call. Clip: https://www.youtube.com/watch?v=yUsRXKhB-_0",N/A
