Name,Category,Type,Address,Cost Range,Tips,Website
Liceu (Metro L3),Transport,Metro Station,"La Rambla 51-59, 08002 Barcelona","1.255 EUR/ride on the T-casual","08:30 - L2 from Sagrada Familia to Passeig de Gracia, change to L3, two stops to Liceu (~20 min). PICKPOCKET ALERT: L3, the Liceu platform and La Rambla are the densest pickpocket corridor in Spain. Bags in front from the escalator onward. No passports needed today.",N/A
Granja La Pallaresa,Breakfast,Granja / Chocolate House,"C/ de Petritxol 11, 08002 Barcelona","5-8 EUR/person","09:00 - the 1947 Petritxol granja institution. Order suissos (drinking chocolate thick enough to stand a spoon in, with whipped cream) and a plate of xurros to dip. Read the ceramic plaques set between shopfronts - they tell the street's history in tiles. Granja Dulcinea three doors down is the same institution if this is full.",N/A
La Boqueria Market,Sight,Food Market,"La Rambla 91, 08001 Barcelona",Free entry,"09:40, 20 min walk-through. Mon-Sat 08:00-20:30, CLOSED SUNDAYS - open on our Friday. IGNORE THE FRONT: the juice wall and fruit cups on La Rambla are theatre. Go deep to the fish hall at the back, the salt-cod stalls and the mushroom man. Buy nothing but a cone of jamon if a queue looks short.",N/A
Basilica de Santa Maria del Pi,Sight,Gothic Church,"Plaça del Pi 7, 08002 Barcelona","8 EUR/person","10:00 at opening, 30-40 min. Mon-Sat 10:00-20:00. A single enormous nave with no aisles - Catalan Gothic at its purest - under one of the largest rose windows in the world (10 m across; current glass is a 1940s rebuild after a 1936 fire). BELL-TOWER CLIMBS RUN AT SET TIMES - ask at the desk when you buy. 50 m up a spiral, best cheap view in the Gothic Quarter.",https://basilicadelpi.cat
Sinagoga Major (El Call),Sight,Synagogue / Jewish Quarter,"C/ de Marlet 5, 08002 Barcelona","~3 EUR/person","10:45, ~30 min. Among the oldest surviving synagogue structures in Europe - two small rooms below street level, Roman foundations, a 10-min talk from whoever is on the desk. Look for the Hebrew inscription stone reset into the wall on C/ de Marlet. Barcelona's Call is the appetizer version of Girona's, which you get the next day.",N/A
Plaça de Sant Felip Neri,Sight,Historic Square,"Plaça de Sant Felip Neri, 08002 Barcelona",Free,"11:10 - go in quietly. The pockmarks across the church front are shrapnel from a January 1938 bombing that killed forty-two people, most of them children sheltering in the crypt. For decades it was said the marks were from firing squads; the truth is on the plaque now. A memorial before it is a photograph.",N/A
Pont del Bisbe,Sight,Bridge,"Carrer del Bisbe, 08002 Barcelona",Free,"11:25, thirty seconds. The neo-Gothic bridge every guidebook cover uses - and it is from 1928, not the 15th century. Find the skull with a dagger through it carved on the underside, then move on before the tour groups re-form.",N/A
Catedral de Barcelona (La Seu),Sight,Gothic Cathedral,"Pla de la Seu s/n, 08002 Barcelona","16 EUR; students under 25 14 EUR; rooftop tier ~19 EUR","11:30, ~1 hr. THE FRIDAY DIVIDEND: Mon-Fri 09:30-18:30, where Saturday's tourist visit ends 17:15 and Sunday is worship-only 14:00-17:00. See in order: the crypt of Santa Eulalia (the city's 13-year-old co-patroness, alabaster sarcophagus under the high altar); the cloister with THIRTEEN WHITE GEESE, one for each year of her life; the 1519 Golden Fleece choir stalls; and the rooftop lift if the desk offers it. Shoulders and knees covered - enforced at the door.",https://catedralbcn.org/en/
Temple d'August,Sight,Roman Ruins,"C/ del Paradis 10, 08002 Barcelona",Free,"12:35, ~15 min, free, ~10:00-19:00. Four Corinthian columns 9 m tall from the 1st-century temple of Augustus, standing in a Gothic courtyard you would walk past ten times without noticing. A millstone in the doorway marks the summit of Mont Taber, the hill Barcelona was founded on - all 16.9 m of it.",N/A
Plaça del Rei,Sight,Medieval Square,"Plaça del Rei, 08002 Barcelona","Free to stand in (MUHBA interiors ~7 EUR)","12:50 - the medieval royal courtyard with the fan-vaulted Salo del Tinell, where Ferdinand and Isabella reportedly received Columbus in 1493. Skip the MUHBA interiors today; the square is the sight. Then down C/ de la Ciutat past Plaça de Sant Jaume - Generalitat on one side, Ajuntament on the other, the same square the Romans put their forum in.",N/A
