Name,Category,Type,Address,Cost Range,Tips,Website,Family
"Basílica de Nuestra Señora del Pilar","Main Attraction","Baroque Basilica","Plaza del Pilar Zaragoza","Free (tower lift €6)","Enormous Baroque basilica on the Ebro — Spain's most visited pilgrimage site. Free, open daily ~06:45–20:30 straight through siesta. Goya dome frescoes, Santa Capilla, 1936 unexploded bombs. Tower lift €6 (€4 youth), Mon–Thu 10:30–14:30 and 16–20, LAST LIFT ~19:30. Sunset (20:37 Aug 31) is from Puente de Piedra.","N/A","Good"
"La Aljafería Palace","Main Attraction","Moorish Palace","C/ de los Diputados s/n Zaragoza","€7 (€2 students, under-12 free)","11th-century Moorish palace comparable to the Alhambra but almost no crowds. Islamic filigree arches, oratory mihrab, Catholic Monarchs' throne room. Open daily 10:00–18:00 (2026). Allow 1.5–2 hours. Book timed entry at tickets.aljaferia.es — capacity limited.","N/A","Good — allow full time"
"La Seo Cathedral (Catedral del Salvador)","Main Attraction","Gothic-Mudéjar Cathedral","Plaza de la Seo Zaragoza","€10 (€7 youth 13–18, under-12 free)","Built over a Roman forum and Moorish mosque. Mudéjar north wall is one of the finest in Spain; world-class Flemish tapestry museum included. OPEN MONDAYS: Mon–Sat 10–14:30 and 16–20 (last entry ~19:15). Cathedral + Pilar tower combo €12 (€9 youth) saves €4.","N/A","Good"
"Museo del Foro de Caesaraugusta","Museum","Roman Ruins","Plaza de la Seo Zaragoza","€4 (€3 students, under-15 free; combo €7)","Excavated Roman forum preserved underground with excellent audiovisuals. Cool, uncrowded, genuinely fascinating. CLOSED MONDAYS — go Tue: 10–14 and 17–21. The €7 Roman-route combo only pays if you visit 2+ of the 4 museums.","N/A","Good — older kids love it"
"Puente de Piedra","Viewpoint","Historic Bridge","Puente de Piedra Zaragoza","Free","15th-century stone bridge over the Ebro — walk to the middle at dusk for the classic view of El Pilar's tiled domes reflected in the river. Sunset Aug 31 is 20:37; floodlights and blue hour to ~21:10. North-bank promenade gives the wider angle.","N/A","Excellent"
"Plaza del Pilar (Plaza de Nuestra Señora del Pilar)","Square","City Square","Plaza de Nuestra Señora del Pilar Zaragoza","Free","The full scale of the basilica from the square is extraordinary — 156m long. Best seen in daylight. Links El Pilar and La Seo; Goya statue and Fuente de la Hispanidad along the way.","N/A","Excellent"
"Mercado Central de Zaragoza","Market","Modernist Market","Av. César Augusto s/n Zaragoza","Free entry","1903 Modernist iron market with stained-glass roof, beside the Roman walls. Stalls run Mon–Sat ~09:00–14:00 (plus weekday evenings); central tapas stands. Catch it alive before 14:00 — ideal Tue ~12:20 en route from the Aljafería.","N/A","Good"
"Teatro de Caesaraugusta","Roman Route","Roman Theatre","C/ San Jorge 12 Zaragoza","Free from walkway (museum ~€4, closed Mon)","6,000-seat Roman theatre ruin in the middle of the old town, visible free from the perimeter walkway anytime. Museum on the municipal schedule (closed Mondays). A free 10-minute wow 5 min south of Casa Lac.","N/A","Good"
"La Lonja","Architecture","Renaissance Exchange","Plaza del Pilar s/n Zaragoza","Free (exhibitions only)","1540s Renaissance merchant exchange — Aragón's finest civil Renaissance building. Interior opens only when an exhibition is on (closed Mon); the facade alone is worth the 2-minute detour between the cathedrals.","N/A","OK — quick stop"
"Patio de la Infanta","Hidden Gem","Renaissance Courtyard","C/ San Ignacio de Loyola 16 Zaragoza","Verify locally","Spectacular 1550s Renaissance courtyard inside the Ibercaja HQ. Currently hosts Goya. Interludio — the Museo Goya collection while that museum is closed for expansion (until ~Oct 2026). Hours/price unverified — check before going.","N/A","Good for a short visit"
