Name,Category,Type,Address,Cost Range,Tips,Website,Family
"Sagrada Família","Main Attraction","Gaudí Basilica","C/ de Mallorca 401 Eixample","26 EUR basic / 24 EUR under-30 / 36 EUR with tower (under 11 free, still needs QR)","BOOKED: Thu 27 Aug 2026, entry 17:45, English guided tour 18:30, code 103719876. Nominative ticket — bring passports, names are checked. Be at the Carrer de la Marina entrance by 17:30; 15-min window enforced. Evening slot means western Passion-facade light: nave glows red and gold. FREE SECOND VISIT: International Mass Sundays 09:00 (also Saturdays 20:00) — no ticket, no booking, capacity limited so queue from 08:15. Enter at the Nativity facade on Carrer de la Marina. Morning light through the Nativity side is blue-green — the opposite of the paid evening slot.","https://www.sagradafamilia.org/en/worship-at-the-basilica","Excellent"
"Park Güell","Main Attraction","Gaudí Park","C/ d'Olot s/n Gràcia","18 EUR monumental zone (7-12: 13.50 EUR; under 7 free; outer park free)","BOOKED: Thu 27 Aug 2026, 09:30, 4 general tickets, 72 EUR paid, locator 700328431455. 30-min entry window from 09:30 and no re-entry once you exit. Dragon Staircase + 86-column Hypostyle Hall are must-sees. Free outer park has great city views.","https://parkguell.barcelona/en/","Good — older kids and teens love it"
"Casa Batlló","Main Attraction","Gaudí House","Pg. de Gràcia 43 Eixample","35-45 EUR","Book ahead. Rooftop dragon-spine tiles and bone-column main salon are extraordinary. Magic Nights evening option available. On the Manzana de la Discordia block.","https://www.casabatllo.es/en/","Good"
"Casa Milà (La Pedrera)","Main Attraction","Gaudí Apartment","Pg. de Gràcia 92 Eixample","25-34 EUR","Book ahead. The rooftop warrior chimneys are the attraction. Go late afternoon for best light. Evening concert La Pedrera de Nit is expensive but magical.","https://www.lapedrera.com/en/","Good"
"Hospital de Sant Pau","Main Attraction","Art Nouveau Complex","C/ de Sant Antoni Maria Claret 167 Eixample","18 EUR before 14:00 / 17 EUR after; ages 12-24 12.60/11.90 EUR; under 12 free (verified 2026)","World's largest Art Nouveau complex. Almost no queues in August. Daily 09:30-18:30, last entry 18:00. Our slot: Day 2 15:45 after siesta (~57.80 EUR for four at the pm rate). Ten-minute walk down pedestrian Avinguda de Gaudi straight to the Sagrada Familia. UNESCO World Heritage.","https://www.santpaubarcelona.org/en/","Good"
"Barcelona Cathedral","Main Attraction","Gothic Cathedral","Pla de la Seu s/n El Gòtic","16 EUR cultural visit (students up to 25: 14 EUR); ~19 EUR tier adds rooftop + audio/VR — 2026 prices","13 white geese in the cloister — one per year of Saint Eulalia's 13. Tourist visit: Mon-Fri 09:30-18:30, SAT 09:30-17:15 (last entry 16:30), Sun 14:00-17:00 only. Our slot: Day 4 Sat 09:30 at opening. Take the rooftop lift if offered at the till. Free entry is worship-only hours.","https://catedralbcn.org/en/","Good"
"Santa Maria del Mar","Main Attraction","Gothic Church","Pl. de Santa Maria 1 El Born","5 EUR cultural visit (incl. crypt + galleries; rooftop combo 10 EUR); free during worship hours only","Built by the entire neighbourhood in 54 years. Most beautiful Gothic interior in Barcelona — equal-height triple nave. Cultural visit Mon-Sat 10:00-18:00, Sun 13:00-18:00. Our slot: Day 4 13:30 — around the corner from the Picasso Museum.","https://www.santamariadelmar.barcelona/en/","Excellent"
"Picasso Museum","Main Attraction","Museum","C/ de Montcada 15-23 El Born","14 EUR online / 15 EUR door; 18-25: 7.50 EUR; under 18 FREE (2026 prices)","Five medieval palaces. Outstanding Picasso early-work collection. Summer hours: Tue-Sun from 09:00, Thu-Sat until 21:00, closed Mon. BOOK THE SAT AUG 29 14:00 SLOT NOW — Saturdays sell out; 35.50 EUR total for our four. No free window in our dates (first-Sunday + winter Thursdays only).","https://museupicassobcn.cat/en/","Good — older teens"
"MNAC — National Art Museum","Main Attraction","Museum","Pg. del Mirador 6 Montjuïc","12 EUR (under 16 free; free Sat pm)","Romanesque art collection is world-class. The MNAC steps create the longest visual axis in Barcelona — twin towers down to the sea. Worth visiting for the building alone.","https://www.museunacional.cat/en","Yes"
"Fundació Joan Miró","Main Attraction","Museum","Pg. de Santa Madrona 1 Montjuïc","14 EUR (under 15 free; free Thu 17:30-20:30)","Bright surrealist museum on Montjuïc slopes. Miró's primary colours unusually accessible to children. Combine with Montjuïc Castle same afternoon.","https://www.fmirobcn.org/en/","Good — all ages"
